Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,11.7,,Percent,"Total official flows for scholarships, by recipient countries [4.b.1]"
2016,11.0,,Percent,"Total official flows for scholarships, by recipient countries [4.b.1]"
2017,7.5,,Percent,"Total official flows for scholarships, by recipient countries [4.b.1]"
2018,18.0,,Percent,"Total official flows for scholarships, by recipient countries [4.b.1]"
