Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,15.07,,Percent,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1]
2016,15.07,,Percent,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1]
2017,15.19,,Percent,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1]
2018,10.87,,Percent,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1]
2019,8.39,,Percent,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1]
