Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,996.75,,"Per 100,000 population","Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2016,358.1,,"Per 100,000 population","Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2017,3805.69,,"Per 100,000 population","Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2018,9270.11,,"Per 100,000 population","Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2019,10795.47,,"Per 100,000 population","Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2015,0.1,,"Per 100,000 population","Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2016,0.07,,"Per 100,000 population","Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2017,0.14,,"Per 100,000 population","Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2018,0.91,,"Per 100,000 population","Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2019,0.37,,"Per 100,000 population","Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2015,0.38,,"Per 100,000 population","Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2016,0.0,,"Per 100,000 population","Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2017,0.0,,"Per 100,000 population","Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2018,0.02,,"Per 100,000 population","Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2019,0.22,,"Per 100,000 population","Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2015,0.0,,"Per 100,000 population","Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2016,0.0,,"Per 100,000 population","Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2017,0.0,,"Per 100,000 population","Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2018,0.37,,"Per 100,000 population","Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2019,0.99,,"Per 100,000 population","Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2015,1.37,,"Per 100,000 population","Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2016,0.0,,"Per 100,000 population","Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2017,0.0,,"Per 100,000 population","Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2018,0.0,,"Per 100,000 population","Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2019,0.0,,"Per 100,000 population","Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
