Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,36,,Number,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation (Increase number of agreements with other counties and international organisations to 100 agreements and implementing 80% in 2020)"
2016,15,,Number,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation (Increase number of agreements with other counties and international organisations to 100 agreements and implementing 80% in 2020)"
2017,32,,Number,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation (Increase number of agreements with other counties and international organisations to 100 agreements and implementing 80% in 2020)"
2018,48,,Number,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation (Increase number of agreements with other counties and international organisations to 100 agreements and implementing 80% in 2020)"
2019,18,,Number,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation (Increase number of agreements with other counties and international organisations to 100 agreements and implementing 80% in 2020)"
2015,63,,Number,Number of research projects/papers (increase number of research projects in national and ministerial levels to 250 projects in 2025)
2016,46,,Number,Number of research projects/papers (increase number of research projects in national and ministerial levels to 250 projects in 2025)
2017,16,,Number,Number of research projects/papers (increase number of research projects in national and ministerial levels to 250 projects in 2025)
2018,18,,Number,Number of research projects/papers (increase number of research projects in national and ministerial levels to 250 projects in 2025)
2019,18,,Number,Number of research projects/papers (increase number of research projects in national and ministerial levels to 250 projects in 2025)
2015,28,,Number,Number of research papers published in regional and international journals (increase number of research publications to 250 copies in national and regional levels in 2025)
2016,22,,Number,Number of research papers published in regional and international journals (increase number of research publications to 250 copies in national and regional levels in 2025)
2017,23,,Number,Number of research papers published in regional and international journals (increase number of research publications to 250 copies in national and regional levels in 2025)
2018,18,,Number,Number of research papers published in regional and international journals (increase number of research publications to 250 copies in national and regional levels in 2025)
2019,24,,Number,Number of research papers published in regional and international journals (increase number of research publications to 250 copies in national and regional levels in 2025)
