Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,57.6,,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2016,49.0,,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
