Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,2642693,,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2016,2628400,,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2017,2782943,,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2018,3030046,,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2019,3540020,,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
