Year,Value,GeoCode,UNIT_MEASURE,SERIES
2013,33.1,,Percent,Proportion of children living in child-specific multidimensional poverty [1.2.2]
2018,22.0,,Percent,Proportion of children living in child-specific multidimensional poverty [1.2.2]
