Year,Value,GeoCode,UNIT_MEASURE,SERIES
2010,15.0,,Percent,Proportion of children engaged in economic activity and household chores [8.7.1]
2017,42.8,,Percent,Proportion of children engaged in economic activity and household chores [8.7.1]
