Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,158.56,,Percent,Agriculture share of Government Expenditure [2.a.1]
2016,188.77,,Percent,Agriculture share of Government Expenditure [2.a.1]
2017,271.19,,Percent,Agriculture share of Government Expenditure [2.a.1]
2018,244.43,,Percent,Agriculture share of Government Expenditure [2.a.1]
2019,178.56,,Percent,Agriculture share of Government Expenditure [2.a.1]
