Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,30,,Percent,Percentage of population registered as internet users through landline and wireless
2016,39,,Percent,Percentage of population registered as internet users through landline and wireless
2017,42,,Percent,Percentage of population registered as internet users through landline and wireless
2018,45,,Percent,Percentage of population registered as internet users through landline and wireless
2019,50,,Percent,Percentage of population registered as internet users through landline and wireless
