Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,21,,Percent,Percentage of mobile phone users with internet access.
2016,30,,Percent,Percentage of mobile phone users with internet access.
2017,37,,Percent,Percentage of mobile phone users with internet access.
2018,47,,Percent,Percentage of mobile phone users with internet access.
2019,50,,Percent,Percentage of mobile phone users with internet access.
