Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,725,,USD,Tourism direct GDP as a proportion of total GDP [8.9.1]
2016,724,,USD,Tourism direct GDP as a proportion of total GDP [8.9.1]
2017,648,,USD,Tourism direct GDP as a proportion of total GDP [8.9.1]
2018,811,,USD,Tourism direct GDP as a proportion of total GDP [8.9.1]
2019,934,,USD,Tourism direct GDP as a proportion of total GDP [8.9.1]
