Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,26,,Number,Mean number of days to clear imports
2016,9,,Number,Mean number of days to clear imports
2017,10,,Number,Mean number of days to clear imports
2018,10,,Number,Mean number of days to clear imports
2019,3,,Number,Mean number of days to clear imports
