Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,18.5,,Percent,"Proportion of youth not in education, employment or training [8.6.1]"
2017,16.11,,Percent,"Proportion of youth not in education, employment or training [8.6.1]"
