Year,Value,GeoCode,UNIT_MEASURE,SERIES
2016,3,,Number,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life. [5.1.1]"
2015,3,,Number,Whether mechanisms are operational in ‘enforcing and monitoring’ the implementation of legal frameworks for each area of law
