Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,80.8,,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2017,66.5,,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
