Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,2235,,Percent,Number of SMEs owned by Lao citizens (with Lao citizens as the majority shareholders)
2016,2537,,Percent,Number of SMEs owned by Lao citizens (with Lao citizens as the majority shareholders)
2017,2667,,Percent,Number of SMEs owned by Lao citizens (with Lao citizens as the majority shareholders)
2018,2829,,Percent,Number of SMEs owned by Lao citizens (with Lao citizens as the majority shareholders)
2019,3966,,Percent,Number of SMEs owned by Lao citizens (with Lao citizens as the majority shareholders)
