Year,Value,GeoCode,UNIT_MEASURE,SERIES
2010,130137,,Number,"Number of children aged 5-17 engaged in prohibited hazardous occupations and tasks, by sex and age"
2017,3671,,Number,"Number of children aged 5-17 engaged in prohibited hazardous occupations and tasks, by sex and age"
