Year,Value,GeoCode,UNIT_MEASURE,SERIES
2016,22.96,,Percent,"Percentage of women in decision making positions /leadership positions in government sector by central, province and district in the following positions_Deputy Division Head"
2016,17.79,,Percent,"Percentage of women in decision making positions /leadership positions in government sector by central, province and district in the following positions_ Division Head"
2016,16.03,,Percent,"Percentage of women in decision making positions /leadership positions in government sector by central, province and district in the following positions_Deputy Department General"
2016,15.26,,Percent,"Percentage of women in decision making positions /leadership positions in government sector by central, province and district in the following positions_Department General"
2016,2.67,,Percent,Percentage of women being the village chief
2016,11.61,,Percent,Percentage of women being  the deputy village chief
2018,2.35,,Percent,Percentage of women being the village chief
2018,11.82,,Percent,Percentage of women being  the deputy village chief
