Year,SERIES,Reference area,Education level,UNIT_MEASURE,GeoCode,Value
2017,Gender parity indices for completion,,Primary education,Percent,,1.0
2017,Gender parity indices for completion,,Lower secondary general education,Percent,,0.939
2017,Gender parity indices for completion,,Upper secondary general education,Percent,,0.905
