Year,SERIES,REF_AREA,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,GeoCode,Value
2013,SH_FPL_MTMM,,,,PT,,61.3
2017,SH_FPL_MTMM,,,,PT,,71.7
2017,SH_FPL_MTMM,,U,,PT,,66.6
2017,SH_FPL_MTMM,,R,,PT,,74.1
2017,SH_FPL_MTMM,,,Q1,PT,,67.6
2017,SH_FPL_MTMM,,,Q2,PT,,73.9
2017,SH_FPL_MTMM,,,Q3,PT,,75.0
2017,SH_FPL_MTMM,,,Q4,PT,,75.5
2017,SH_FPL_MTMM,,,Q5,PT,,65.9
