Year,SERIES,ເຂດອ້າງອີງ,ລະດັບການສຶກສາ,UNIT_MEASURE,GeoCode,Value
2017,ລາຍລະອຽດຄວາມເປັນພາຄີທາງເພດສໍາລັບການສໍາເລັດ,,ການສຶກສາຊັ້ນປະຖົມສຶກສາ,ເປີເຊັນ,,1.0
2017,ລາຍລະອຽດຄວາມເປັນພາຄີທາງເພດສໍາລັບການສໍາເລັດ,,ການສຶກສາທົ່ວໄປຊັ້ນມັດທະຍົມຕອນລຸ່ມ,ເປີເຊັນ,,0.939
2017,ລາຍລະອຽດຄວາມເປັນພາຄີທາງເພດສໍາລັບການສໍາເລັດ,,ຊັ້ນມັດທະຍົມສຶກສາຊັ້ນມັດທະຍົມສຶກສາ,ເປີເຊັນ,,0.905
