Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,ການດື່ມເຫຼົ້າຕໍ່ຫົວຄົນ (ອາຍຸ 15 ປີຂຶ້ນໄປ) ພາຍໃນປີປະຕິທິນ [3.5.2],,Litres ທາດເຫຼົ້າບໍລິສຸດ,,10.1
2018,ການດື່ມເຫຼົ້າຕໍ່ຫົວຄົນ (ອາຍຸ 15 ປີຂຶ້ນໄປ) ພາຍໃນປີປະຕິທິນ [3.5.2],,Litres ທາດເຫຼົ້າບໍລິສຸດ,,10.7
