Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,ອັດຕາການເຕີບໂຕປະຈໍາປີຂອງ GDP ຕົວຈິງຕໍ່ຫົວຄົນ [8.1.1],,ເປີເຊັນ,,5.7
2016,ອັດຕາການເຕີບໂຕປະຈໍາປີຂອງ GDP ຕົວຈິງຕໍ່ຫົວຄົນ [8.1.1],,ເປີເຊັນ,,5.4
2017,ອັດຕາການເຕີບໂຕປະຈໍາປີຂອງ GDP ຕົວຈິງຕໍ່ຫົວຄົນ [8.1.1],,ເປີເຊັນ,,5.2
2018,ອັດຕາການເຕີບໂຕປະຈໍາປີຂອງ GDP ຕົວຈິງຕໍ່ຫົວຄົນ [8.1.1],,ເປີເຊັນ,,4.6
