Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,ບາດເຈັບອາຊີບທີ່ບໍ່ເສຍຄ່າໃນບັນດາພະນັກງານ (rate) [8.8.1],,ເລກທີ,,40
2016,ບາດເຈັບອາຊີບທີ່ບໍ່ເສຍຄ່າໃນບັນດາພະນັກງານ (rate) [8.8.1],,ເລກທີ,,53
2017,ບາດເຈັບອາຊີບທີ່ບໍ່ເສຍຄ່າໃນບັນດາພະນັກງານ (rate) [8.8.1],,ເລກທີ,,20
2018,ບາດເຈັບອາຊີບທີ່ບໍ່ເສຍຄ່າໃນບັນດາພະນັກງານ (rate) [8.8.1],,ເລກທີ,,39
2019,ບາດເຈັບອາຊີບທີ່ບໍ່ເສຍຄ່າໃນບັນດາພະນັກງານ (rate) [8.8.1],,ເລກທີ,,50
