Year,SERIES,ເຂດອ້າງອີງ,ເພດ,UNIT_MEASURE,GeoCode,Value
2017,ສ່ວນຂອງເວລາທີ່ໃຊ້ເວລາເຮັດວຽກເຮັດວຽກໃນບ້ານທີ່ບໍ່ໄດ້ຮັບຄ່າຈ້າງແລະວຽກດູແລ [5.4.1],,ຜູ້ຊາຍ,ເປີເຊັນ,,5.9
2017,ສ່ວນຂອງເວລາທີ່ໃຊ້ເວລາເຮັດວຽກເຮັດວຽກໃນບ້ານທີ່ບໍ່ໄດ້ຮັບຄ່າຈ້າງແລະວຽກດູແລ [5.4.1],,ຜູ້ຍິງ,ເປີເຊັນ,,5.5
