Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,ການລົງທຶນໂດຍກົງຈາກຕ່າງປະເທດ (FDI) inflows [17.3.1],,USD,,1267747571
2016,ການລົງທຶນໂດຍກົງຈາກຕ່າງປະເທດ (FDI) inflows [17.3.1],,USD,,4515413212
2017,ການລົງທຶນໂດຍກົງຈາກຕ່າງປະເທດ (FDI) inflows [17.3.1],,USD,,1695990817
2018,ການລົງທຶນໂດຍກົງຈາກຕ່າງປະເທດ (FDI) inflows [17.3.1],,USD,,1046170477
2019,ການລົງທຶນໂດຍກົງຈາກຕ່າງປະເທດ (FDI) inflows [17.3.1],,USD,,1046170477
