Year,SERIES,ເຂດອ້າງອີງ,ເພດ,UNIT_MEASURE,GeoCode,Value
2017,ອັດຕາສ່ວນຂອງເດັກແລະໄວຫນຸ່ມທີ່ບັນລຸລະດັບຄວາມສາມາດຂັ້ນຕ່ໍາໃນການອ່ານແລະຄະນິດສາດ [4.1.1],,ຜູ້ຊາຍ,ເປີເຊັນ,,11.8
2017,ອັດຕາສ່ວນຂອງເດັກແລະໄວຫນຸ່ມທີ່ບັນລຸລະດັບຄວາມສາມາດຂັ້ນຕ່ໍາໃນການອ່ານແລະຄະນິດສາດ [4.1.1],,ຜູ້ຍິງ,ເປີເຊັນ,,7.3
