Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,ຈໍານວນຜູ້ເສຍຊີວິດ ຍ້ອນໄດ້ຮັບບາດເຈັບຈາກການສັນຈອນທາງບົກ [3.6.1],,"ຕໍ່ 100,000 ຄົນ",,14.2
2016,ຈໍານວນຜູ້ເສຍຊີວິດ ຍ້ອນໄດ້ຮັບບາດເຈັບຈາກການສັນຈອນທາງບົກ [3.6.1],,"ຕໍ່ 100,000 ຄົນ",,15.5
2017,ຈໍານວນຜູ້ເສຍຊີວິດ ຍ້ອນໄດ້ຮັບບາດເຈັບຈາກການສັນຈອນທາງບົກ [3.6.1],,"ຕໍ່ 100,000 ຄົນ",,15.0
2018,ຈໍານວນຜູ້ເສຍຊີວິດ ຍ້ອນໄດ້ຮັບບາດເຈັບຈາກການສັນຈອນທາງບົກ [3.6.1],,"ຕໍ່ 100,000 ຄົນ",,14.1
