Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,"ການໄຫຼຂອງທາງການທັງຫມົດສໍາລັບທຶນການສຶກສາ, ໂດຍປະເທດທີ່ໄດ້ຮັບ [4.b.1]",,ເປີເຊັນ,,11.7
2016,"ການໄຫຼຂອງທາງການທັງຫມົດສໍາລັບທຶນການສຶກສາ, ໂດຍປະເທດທີ່ໄດ້ຮັບ [4.b.1]",,ເປີເຊັນ,,11.0
2017,"ການໄຫຼຂອງທາງການທັງຫມົດສໍາລັບທຶນການສຶກສາ, ໂດຍປະເທດທີ່ໄດ້ຮັບ [4.b.1]",,ເປີເຊັນ,,7.5
2018,"ການໄຫຼຂອງທາງການທັງຫມົດສໍາລັບທຶນການສຶກສາ, ໂດຍປະເທດທີ່ໄດ້ຮັບ [4.b.1]",,ເປີເຊັນ,,18.0
