Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Mean number of days to clear imports,,Number,,26
2016,Mean number of days to clear imports,,Number,,9
2017,Mean number of days to clear imports,,Number,,10
2018,Mean number of days to clear imports,,Number,,10
2019,Mean number of days to clear imports,,Number,,3
