Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Percentage of mobile phone users with internet access.,,Percent,,21
2016,Percentage of mobile phone users with internet access.,,Percent,,30
2017,Percentage of mobile phone users with internet access.,,Percent,,37
2018,Percentage of mobile phone users with internet access.,,Percent,,47
2019,Percentage of mobile phone users with internet access.,,Percent,,50
