Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,"Total official flows for scholarships, by recipient countries [4.b.1]",,Percent,,11.7
2016,"Total official flows for scholarships, by recipient countries [4.b.1]",,Percent,,11.0
2017,"Total official flows for scholarships, by recipient countries [4.b.1]",,Percent,,7.5
2018,"Total official flows for scholarships, by recipient countries [4.b.1]",,Percent,,18.0
