Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2015,Share of employed persons in the informal sector,,,Percent,,18.5
2015,Share of employed persons in the informal sector,,Male,Percent,,8.44
2015,Share of employed persons in the informal sector,,Female,Percent,,10.06
2017,Share of employed persons in the informal sector,,,Percent,,82.66
2017,Share of employed persons in the informal sector,,Male,Percent,,42.66
2017,Share of employed persons in the informal sector,,Female,Percent,,40.0
