Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,,2642693
2016,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,,2628400
2017,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,,2782943
2018,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,,3030046
2019,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,,3540020
