Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2010,"Number of children aged 5-17 engaged in prohibited hazardous occupations and tasks, by sex and age",,Number,,130137
2017,"Number of children aged 5-17 engaged in prohibited hazardous occupations and tasks, by sex and age",,Number,,3671
