Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Percentage of population registered as internet users through landline and wireless,,Percent,,30
2016,Percentage of population registered as internet users through landline and wireless,,Percent,,39
2017,Percentage of population registered as internet users through landline and wireless,,Percent,,42
2018,Percentage of population registered as internet users through landline and wireless,,Percent,,45
2019,Percentage of population registered as internet users through landline and wireless,,Percent,,50
