Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life. [5.1.1]",,Number,,3
2015,Whether mechanisms are operational in ‘enforcing and monitoring’ the implementation of legal frameworks for each area of law,,Number,,3
