Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2017,Participation rate in technical-vocational education programmes (15-24 years-old),,,Percent,,84450
2017,Participation rate in technical-vocational education programmes (15-24 years-old),,Male,Percent,,49682
2017,Participation rate in technical-vocational education programmes (15-24 years-old),,Female,Percent,,34768
