Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",,USD,,57.6
2016,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",,USD,,49.0
