Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2010,SG_REG_CENSUS,,,NUMBER,,1
2015,_L_LA_171902_02,,,NUMBER,,82128
2015,_L_LA_171902_02,,M,NUMBER,,35930
2015,_L_LA_171902_02,,F,NUMBER,,46198
2016,_L_LA_171902_02,,,NUMBER,,61746
2016,_L_LA_171902_02,,M,NUMBER,,31217
2016,_L_LA_171902_02,,F,NUMBER,,30529
2017,_L_LA_171902_02,,,NUMBER,,61416
2017,_L_LA_171902_02,,M,NUMBER,,30180
2017,_L_LA_171902_02,,F,NUMBER,,31236
2018,_L_LA_171902_02,,,NUMBER,,70732
2018,_L_LA_171902_02,,M,NUMBER,,35324
2018,_L_LA_171902_02,,F,NUMBER,,35408
