Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Percentage of financing and loans issued to SMEs,,Percent,,30.9
2016,Percentage of financing and loans issued to SMEs,,Percent,,23.4
2017,Percentage of financing and loans issued to SMEs,,Percent,,22.3
2018,Percentage of financing and loans issued to SMEs,,Percent,,20.2
2019,Percentage of financing and loans issued to SMEs,,Percent,,18.1
