Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2016,ອັດຕາສ່ວນຂອງບ່ອນນັ່ງທີ່ແມ່ຍິງຈັດຢູ່ໃນສະພາແຫ່ງຊາດ (% ຂອງຈໍານວນບ່ອນນັ່ງທັງຫມົດ) [5.5.1],,ເປີເຊັນ,,27.5
2016,ອັດຕາສ່ວນຂອງບ່ອນນັ່ງທີ່ແມ່ຍິງຈັດຢູ່ໃນລັດຖະບານທ້ອງຖິ່ນ (% ຂອງຈໍານວນບ່ອນນັ່ງທັງຫມົດ) [5.5.1],,ເປີເຊັນ,,31.38
