Year,SERIES,Reference area,Education level,UNIT_MEASURE,GeoCode,Value
2017,Percentage lower secondary/upper secondary school graduates enrolled in vocational & training school,,Lower secondary general education,Percent,,0.5
2017,Percentage lower secondary/upper secondary school graduates enrolled in vocational & training school,,Upper secondary general education,Percent,,6.5
