Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_080A01_01,,NUMBER,,26
2016,_L_LA_080A01_01,,NUMBER,,9
2017,_L_LA_080A01_01,,NUMBER,,10
2018,_L_LA_080A01_01,,NUMBER,,10
2019,_L_LA_080A01_01,,NUMBER,,3
