Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2015,SL_TLF_UEM,,,,,PT,,2.1
2015,SL_TLF_UEM,,M,,,PT,,2.1
2015,SL_TLF_UEM,,F,,,PT,,2.1
2017,SL_TLF_UEM,,,,,PT,,9.4
2017,SL_TLF_UEM,,M,,,PT,,10.7
2017,SL_TLF_UEM,,F,,,PT,,7.8
2017,SL_TLF_UEM,,,Y_GE15,U,PT,,5.3
2017,SL_TLF_UEM,,,Y_GE15,R,PT,,12.4
2017,SL_TLF_UEM,,,Y15T24,,PT,,18.2
2017,SL_TLF_UEM,,,Y_GE25,,PT,,7.4
