Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2015,Internet users per 100 inhabitants [17.8.1],,,Percent,,28.1
2015,Internet users per 100 inhabitants [17.8.1],,Male,Percent,,28.3
2015,Internet users per 100 inhabitants [17.8.1],,Female,Percent,,27.9
2016,Internet users per 100 inhabitants [17.8.1],,,Percent,,19.0
2017,Internet users per 100 inhabitants [17.8.1],,,Percent,,26.0
2018,Internet users per 100 inhabitants [17.8.1],,,Percent,,37.0
2019,Internet users per 100 inhabitants [17.8.1],,,Percent,,49.0
