Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Prevalence of undernourishment [2.1.1],,Percent,,16.8
2016,Prevalence of undernourishment [2.1.1],,Percent,,16.7
2017,Prevalence of undernourishment [2.1.1],,Percent,,16.5
2018,Prevalence of undernourishment [2.1.1],,Percent,,16.5
