Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,SH_ALC_CONSPT,,LITRES_PURE_ALCOHOL,,10.1
2018,SH_ALC_CONSPT,,LITRES_PURE_ALCOHOL,,10.7
