Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Percent,,27.5
2016,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Percent,,31.38
