Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_030801_01,,PT,,52.0
2016,_L_LA_030801_01,,PT,,56.1
2017,_L_LA_030801_01,,PT,,62.2
2018,_L_LA_030801_01,,PT,,68.1
2019,_L_LA_030801_01,,PT,,70.4
2015,_L_LA_030801_02,,PT,,80.0
2017,_L_LA_030801_02,,PT,,59.7
