Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_180102_01,,,PT,,0.233
2015,_L_LA_180102_01,,M,PT,,0.434
2015,_L_LA_180102_01,,F,PT,,0.032
2016,_L_LA_180102_01,,,PT,,0.299
2016,_L_LA_180102_01,,M,PT,,0.567
2016,_L_LA_180102_01,,F,PT,,0.073
2017,_L_LA_180102_01,,,PT,,0.312
2017,_L_LA_180102_01,,M,PT,,0.366
2017,_L_LA_180102_01,,F,PT,,0.263
2018,_L_LA_180102_01,,,PT,,0.212
2018,_L_LA_180102_01,,M,PT,,0.253
2018,_L_LA_180102_01,,F,PT,,0.172
2019,_L_LA_180102_01,,,PT,,0.182
2019,_L_LA_180102_01,,M,PT,,0.259
2019,_L_LA_180102_01,,F,PT,,0.103
2020,_L_LA_180102_01,,,PT,,0.182
2020,_L_LA_180102_01,,M,PT,,0.559
2020,_L_LA_180102_01,,F,PT,,0.081
