Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,42,,NUMBER,_L_LA_180101_00
2015,33,,NUMBER,_L_LA_180101_01
2015,9,,NUMBER,_L_LA_180101_02
2016,60,,NUMBER,_L_LA_180101_00
2016,50,,NUMBER,_L_LA_180101_01
2016,10,,NUMBER,_L_LA_180101_02
2017,41,,NUMBER,_L_LA_180101_00
2017,37,,NUMBER,_L_LA_180101_01
2017,4,,NUMBER,_L_LA_180101_02
2018,24,,NUMBER,_L_LA_180101_00
2018,21,,NUMBER,_L_LA_180101_01
2018,3,,NUMBER,_L_LA_180101_02
2019,25,,NUMBER,_L_LA_180101_00
2019,16,,NUMBER,_L_LA_180101_01
2019,9,,NUMBER,_L_LA_180101_02
2020,33,,NUMBER,_L_LA_180101_00
2020,24,,NUMBER,_L_LA_180101_01
2020,6,,NUMBER,_L_LA_180101_02
