Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,39,,NUMBER,AG_FPA_COMM
2017,39,,NUMBER,AG_FPA_COMM
2018,39,,NUMBER,AG_FPA_COMM
2019,39,,NUMBER,AG_FPA_COMM
