Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,158.56,,PT,AG_XPD_AGSGB
2016,188.77,,PT,AG_XPD_AGSGB
2017,271.19,,PT,AG_XPD_AGSGB
2018,244.43,,PT,AG_XPD_AGSGB
2019,178.56,,PT,AG_XPD_AGSGB
