Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,11.7,,PT,DC_TOF_SCHIPSL
2016,11.0,,PT,DC_TOF_SCHIPSL
2017,7.5,,PT,DC_TOF_SCHIPSL
2018,18.0,,PT,DC_TOF_SCHIPSL
