Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,36,,NUMBER,_L_LA_170601_01
2016,15,,NUMBER,_L_LA_170601_01
2017,32,,NUMBER,_L_LA_170601_01
2018,48,,NUMBER,_L_LA_170601_01
2019,18,,NUMBER,_L_LA_170601_01
2015,63,,NUMBER,_L_LA_170603_01
2016,46,,NUMBER,_L_LA_170603_01
2017,16,,NUMBER,_L_LA_170603_01
2018,18,,NUMBER,_L_LA_170603_01
2019,18,,NUMBER,_L_LA_170603_01
2015,28,,NUMBER,_L_LA_170603_02
2016,22,,NUMBER,_L_LA_170603_02
2017,23,,NUMBER,_L_LA_170603_02
2018,18,,NUMBER,_L_LA_170603_02
2019,24,,NUMBER,_L_LA_170603_02
