Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,2183066,,NUMBER,SH_TRP_INTVN
2016,2206011,,NUMBER,SH_TRP_INTVN
2017,1953002,,NUMBER,SH_TRP_INTVN
2018,2031804,,NUMBER,SH_TRP_INTVN
