Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2017,_L_LA_040501_02,,ISCED11_10,PT,,1.0
2017,_L_LA_040501_02,,ISCED11_24,PT,,0.939
2017,_L_LA_040501_02,,ISCED11_34,PT,,0.905
