Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,SH_STA_WASH,,NUMBER,,11
2017,SH_STA_WASH,,NUMBER,,72
2018,SH_STA_WASH,,NUMBER,,72
