Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,Fixed broadband ການສະຫມັກຕໍ່ 100 ຄົນທີ່ຢູ່ອາໄສ [17.6.1],,ຕໍ່ 100 ປະຊາກອນ,,2642693
2016,Fixed broadband ການສະຫມັກຕໍ່ 100 ຄົນທີ່ຢູ່ອາໄສ [17.6.1],,ຕໍ່ 100 ປະຊາກອນ,,2628400
2017,Fixed broadband ການສະຫມັກຕໍ່ 100 ຄົນທີ່ຢູ່ອາໄສ [17.6.1],,ຕໍ່ 100 ປະຊາກອນ,,2782943
2018,Fixed broadband ການສະຫມັກຕໍ່ 100 ຄົນທີ່ຢູ່ອາໄສ [17.6.1],,ຕໍ່ 100 ປະຊາກອນ,,3030046
2019,Fixed broadband ການສະຫມັກຕໍ່ 100 ຄົນທີ່ຢູ່ອາໄສ [17.6.1],,ຕໍ່ 100 ປະຊາກອນ,,3540020
