Indicator,Disaggregation combinations using this value
#1-2-1,1
#1-2-2,1
#17-19-2,1
#17-19-3,1
#17-8-1,1
#18-1-1,2
#18-1-2,1
#2-2-1,2
#2-2-2,2
#3-a-1,1
#4-1-1,1
#4-1-2,2
#4-3-3,1
#4-6-1,3
#4-c-1,3
#5-4-1,1
#8-3-1,1
#8-5-1,3
#8-5-2,1
#8-5-4,1
#8-6-1,1
#8-7-1,2
