Value,lo,en,Disaggregation combinations using this value,Number of indicators
B,ເດັກຊາຍ,Boy,2,1
F,ຜູ້ຍິງ,Female,33,22
G,ສາວລາວ,Girl,2,1
M,ຜູ້ຊາຍ,Male,33,22
