Value,lo,en,Disaggregation combinations using this value,Number of indicators
CPC2_1_112,ສາລີ,Maize,1,1
CPC2_1_113,ເຂົ້າ,Rice,1,1
_L_LA_MEAT,ຊີ້ນ ແລະ ປາ,Meat and fish,1,1
_L_LA_VEG,ຜັກ,Vegetable,1,1
